"EASY", "고정교학운등", "운정고등학교", "장소"
"EASY", "드이트케보스", "스케이트보드", "사물"
"EASY", "림이스아크", "아이스크림", "음식"
"EASY", "류정스장버", "버스정류장", "장소"
"EASY", "리메노아카", "아메리카노", "음식"
"EASY", "카남리화아국프공", "남아프리카공화국", "나라"
"EASY", "음치김밥볶", "김치볶음밥", "음식"
"EASY", "늘다쥐람하", "하늘다람쥐", "동물"
"EASY", "파스맨더이", "스파이더맨", "인물"
"EASY", "공정기기청", "공기청정기", "사물"
"NORMAL", "가장이", "강아지", "동물"
"NORMAL", "", ""
"NORMAL", "", ""
"NORMAL", "", ""
"NORMAL", "", ""
"NORMAL", "", ""
"NORMAL", "", ""
"NORMAL", "", ""
"NORMAL", "", ""
"NORMAL", "", ""
"HARD", "에전진자리", "전자레인지", "사물"
"HARD", "두리안츠히키", "후라이드치킨", "음식"
"HARD", "숭피중당에", "장수풍뎅이", "동물"
"HARD", "", ""
"HARD", "", ""
"HARD", "", ""
"HARD", "", ""
"HARD", "", ""
"HARD", "", ""
"HARD", "", ""
